スポット名,口コミ数
上海横浜友好園,4
Goody！LAUNDRY,4
スピードウォール　横浜海の公園　ウインドサーフィン　SUP　スクール,4
JR東神奈川駅,4
ホテル　メルパルク横浜,4
横浜市スポーツ医科学センター,4
東急田園都市線あざみ野駅,4
横浜市こども植物園,4
DeLi　アット！店,4
マリンショップKAYAMA,4
ヨコハママリーナ,4
横浜共立学園本校舎,4
flower*party,4
JFlight,4
トヨタレンタリース横浜　三ツ境駅前店,4
KN日本大通ビル,4
フォレストアドベンチャー・よこはま,4
レストラン　ビアポート,4
THE BAYS,4
トヨタレンタリース神奈川　港北ニュータウンセンター南駅前店,4
スポーツコミュニティプラザ,4
岩田健夫邸,4
横浜プールセンター,3
ニッポンレンタカー　たまプラーザ駅前店,3
横浜サエド園,3
NENE FARM Yokohama,3
WINDS,3
開通合名会社の煉瓦遺構,3
ザ　ベイスターズ,3
生香園本館,3
快活CLUB横浜北山田店,3
Maly Velky by Re.m,3
【楽習フォーラム登録校】studio the Bloom,3
横浜チョコレートファクトリー＆ミュージアム,3
Luana,3
高島水際線公園,3
本牧臨海公園,3
屋形船すずよし,3
COCO_LONDON～横浜中華街店☆アクセサリー教室,3
ビッグロック日吉店,3
べるべるパーク横浜ハマボールイアス店,3
ダイエー 鴨居店,3
横浜市営地下鉄中山駅,3
成田山横浜別院延命院野毛山不動尊,3
快活CLUB 新横浜店,3
釣福丸,3
こども自然公園レストハウス,3
JR根岸駅,3
横浜ベイホテル東急,3
ベーリック・ホール,3
トヨタレンタリース横浜　センター北駅前店,3
横浜市営地下鉄日吉駅,3
かながわ浦島太郎PJ,3
大聖山真福寺和田不動尊,3
ジョイナステラス 二俣川,3
サーキットがやってくる！横浜ワールドポーターズGP,3
横浜元町　竹中,3
中澤高枝邸,3
横浜銀行協会（旧横浜銀行集会所）,3
FREEWAY４２８,3
直木三十五の墓,3
こども自然公園　大池,3
シクロポリタンジャパン,3
La Perle（ラペルル）,2
青木悦子エステルフラワーデザインスタジオ,2
程ヶ谷カントリー倶楽部,2
トヨタレンタリース神奈川　たまプラーザ駅前店,2
ニッポンレンタカー　日吉店,2
トヨタレンタリース神奈川　日吉店,2
ニッポンレンタカー　青葉台駅前店,2
ANOTHER’J,2
横濱陶藝倶樂部,2
九尾屋きものレンタル-KIMONO Rental-横浜中華街店,2
ダイビングショップ　トリトン,2
Eternity Flora,2
タイ工房,2
すすき野　湯けむりの里,2
JR鴨居駅,2
ビーズ屋黒猫,2
若柳喜美奈　日本舞踊教室,2
小さなパン教室 Hama Sora Cooking,2
相鉄ライフ南万騎が原店,2
ニッポンレンタカー 長津田駅前店,2
ニッポンレンタカー 新横浜駅前店,2
ハマチャリ,2
京浜急行鶴見駅,2
こどもの国プール,2
Higher Self Service,2
長泉寺,2
快活CLUB横浜芹が谷店,2
中丸家長屋門,2
トヨタレンタリース横浜　港北大豆戸店,2
岩船地蔵尊,2
横浜開港記念広場,2
夢乃橋,2
日産レンタカー　横浜みなとみらい店,2
H&H TRADING,2
横浜ボウリング発祥の碑,2
apa－apa,2
E.ハンドワークス,2
横浜ドローンウォーカー,2
ハーベストガーデン,2
横浜桜木町サロンドローズ,2
～アンカレッジクルーズ～ 横浜みなとみらい観光船,2
京浜急行電鉄日ノ出町駅,2
海上保安資料館横浜館,2
奈良郷書道教室,2
巻き寿司教室ぐるり横浜元町スタジオ,2
Gallery/Studio CHARLOTTE.USAGI,2
トヨタレンタリース横浜　横浜駅西口店,2
トヨタレンタリース横浜　鶴見三角店,2
横浜YSABEL　ポーセラーツ＆キャンドルサロン,2
駅レンタカー　新横浜営業所,2
五葉山,2
東急電鉄　大倉山駅,2
相模鉄道上星川駅,2
弘明寺商店街,2
汐汲坂通り,2
浄玻璃工芸社がらすびと工房,2
ニッポンレンタカー綱島駅前,2
ホテルJALシティ関内 横浜 カフェ＆レストラン シルク,2
武相堺道,2
吉原いちご園,1
トヨタレンタリース神奈川　新羽駅前店,1
ニッポンレンタカー　東戸塚駅前店,1
トヨタレンタリース横浜　十日市場店,1
陶芸教室きらく,1
日産レンタカー　綱島駅前店,1
ヤマダ電機 テックランド上山店,1
月の蔵　横浜,1
ワールドカップスタジアムツアー,1
逗子海岸でマリンスポーツ、ヨガを楽しめるカフェ　エバーリゾート「ラウンジエバー」,1
ポポンデッタ横浜ビブレ店,1
トヨタレンタリース神奈川　東白楽駅前店,1
新横浜ラントラクト　BBQ　Forest,1
CHIFFON D'OR<シフォンドール>,1
ハックルベリーフィールド,1
まいばすけっと 山下町店,1
京浜急行　上大岡駅,1
ジーンズハウス いわ乃（ロックフィールド）,1
DivingShopLikklemore,1
ディーボルダリング綱島,1
ひなちゃんママの陶芸教室,1
八幡橋鴨下丸,1
エスカル横浜,1
港北天然温泉ゆったりCOco,1
トヨタレンタリース横浜　東神奈川駅前店,1
有隣堂 伊勢佐木町本店,1
京浜急行電鉄黄金町駅,1
NANBU BBQ PARK,1
三嶋神社,1
アイビーフラワーアレンジメント,1
小泉農園　保木圃場,1
手鞠庵,1
銀粘土っ亭,1
手工芸アトリエ・ラ・フランス,1
TSCクルーズ,1
山吹公園,1
リアル脱出ゲーム横浜店,1
nap time～Aromatherapy&Handmade soap ～,1
日吉神社,1
adeam,1
シーサイド・スパ八景島,1
神明社,1
帷子公園,1
反町浴場,1
ＪＲ中山駅,1
横浜市営地下鉄港南中央駅,1
京急鶴見駅,1
旭鎮守八幡神社,1
山王原公園,1
霧が丘公園,1
スマイルバルーン,1
うららカルチャーセンター,1
墨絵教室わ,1
消しゴムはんこ屋 くっきー☆はっぴー,1
相鉄フレッサイン横浜戸塚,1
クリスタル　Y　上大岡,1
faro　terrace,1
SHOLAYERED 横浜赤レンガ倉庫店,1
あんこのお花のお菓子教室 花散里,1
Artexture　アーテクスチャー,1
中島館,1
トヨタレンタリース神奈川　横浜駅中央西口店,1
自然菜園あかね空,1
野毛屋釣船店,1
トヨタレンタリース神奈川　新横浜駅前店,1
快活CLUB関内店,1
米元釣船店,1
Classical Princess Japon,1
猫カフェmfｍｆ,1
ダイビングショップNamidea Yokohama,1
Myuna blue,1
ハーバリウム・プリザーブドフラワー教室ラピヌ,1
快活CLUB センター南店,1
Casa de Luz,1
ニッポンレンタカー 金沢八景駅前店,1
Regina Yokohama　ハンドメイド体験教室,1
大蓮寺,1
天徳院,1
コの字カフェ製作所,1
せせらぎ公園,1
ニッポンレンタカー 鶴見駅前店,1
フットライフ　ヤマモト,1
神奈川国際フィールドアーチェリー場,1
横浜ランドマーケット,1
トヨタレンタリース横浜　青葉台店,1
アズリボンカルチャー,1
トヨタレンタリース横浜　港南中央店,1
Fleurir 横浜教室,1
横濱ハイカラきもの館赤レンガ倉庫店,1
京浜急行電鉄神奈川駅,1
相模鉄道南万騎が原駅,1
ニッポンレンタカー 二俣川駅前店,1
カラクリ時計のパンヤ,1
横濱コレクターズモール,1
市場村一里塚,1
神明社の大ヒノキ,1
観音禅寺,1
ニッポンレンタカー　横浜戸部高島町店,1
陶芸教室土丸,1
エピス・フルール,1
三ツ沢公園の桜,1
京浜急行電鉄戸部駅,1
ニッポンレンタカー 桜木町みなとみらい店,1
ルパン・ダイビングショップ,1
Jam Jam,1
FES,1
シャイニークルーズ,1
ニッポンレンタカー 上大岡駅東口店,1
ＪＸ日鉱日石エネルギー（株）根岸製油所,1
Miu Flower School　横浜校,1
まいばすけっと 鴨居駅西店,1
陶芸・絵画造形教室　工房恵霑,1
pignic cafe yokohama,1
杉山神社 (三保町),1
横濱硝子　赤レンガ倉庫店,1
貝殻坂,1
横浜製鉄所跡,1
消防救急発祥之地,1
港町魚市場跡碑,1
